skill_name,description
.NET,.NET is a software development framework from Microsoft for building applications in C# and other languages.
A/B Testing,A/B Testing is an experimentation practice that compares two variants of a product to measure which performs better.
AI Agents,AI Agents are autonomous software systems that use language models to plan and carry out multi-step tasks with tools.
AI Coding Tools,AI Coding Tools are assistants that generate and review source code using large language models.
AWS,AWS is a cloud computing platform from Amazon providing servers storage and managed services.
AWS Security,AWS Security is the practice of securing cloud infrastructure on Amazon Web Services using identity policies and monitoring.
Active Directory,Active Directory is a Microsoft directory service for managing users computers and permissions on a network.
Agile / Scrum,Agile and Scrum are iterative project management practices for organising software delivery in short cycles.
Airbyte,Airbyte is a data integration tool that moves data from source systems into warehouses.
Airflow,Airflow is a workflow orchestration tool for scheduling and monitoring data pipelines as directed graphs.
Alteryx,Alteryx is a visual analytics platform for preparing blending and analysing data without code.
Amplitude,Amplitude is a product analytics platform for measuring how users behave inside digital products.
Angular,Angular is a front end web framework from Google for building single page applications in TypeScript.
Ansible,Ansible is a configuration management tool that automates server setup and software deployment.
Apache Iceberg,Apache Iceberg is an open table format for very large analytic datasets in data lakes.
ArgoCD,ArgoCD is a continuous delivery tool that deploys applications to Kubernetes from Git repositories.
Azure,Azure is a cloud computing platform from Microsoft providing servers storage and managed services.
Bash,Bash is a command line shell and scripting language used to automate tasks on Unix systems.
Big Data,Big Data is the practice of storing and processing datasets too large for a single machine.
BigQuery,BigQuery is a cloud data warehouse from Google for running analytical SQL queries at scale.
Burp Suite,Burp Suite is a security testing tool for finding vulnerabilities in web applications.
C,C is a low level compiled programming language used for systems and embedded software.
C#,C# is an object oriented programming language from Microsoft used with the .NET framework.
C++,C++ is a compiled programming language used for performance critical systems and applications.
CI/CD,CI/CD is the practice of automatically building testing and deploying software on every change.
CISSP,CISSP is a professional certification in information security management.
CSS,CSS is a stylesheet language that controls the visual presentation of web pages.
Cassandra,Cassandra is a distributed NoSQL database designed for high write throughput across many nodes.
ClickHouse,ClickHouse is a column oriented database for fast analytical queries over large datasets.
Confluence,Confluence is a team documentation and knowledge sharing tool from Atlassian.
Cybersecurity,Cybersecurity is the practice of protecting systems networks and data from attack and unauthorised access.
Dagster,Dagster is a data orchestration tool for building and monitoring data pipelines.
Data Analysis,Data Analysis is the practice of examining datasets to find patterns and answer questions.
Data Governance,Data Governance is the practice of managing data quality ownership and compliance across an organisation.
Data Modeling,Data Modeling is the practice of designing how data is structured and related in a database or warehouse.
Data Observability,Data Observability is the practice of monitoring data pipelines for freshness quality and failures.
