job_family,name,provider,level,focus,status,url
it_support,CompTIA A+,CompTIA,entry,"Hardware, operating systems, and first-line troubleshooting",current,https://www.comptia.org/certifications/a
it_support,ITIL 4 Foundation,PeopleCert,entry,"Service management vocabulary and process, the one most help-desk adverts name",current,https://www.peoplecert.org/browse-certifications/it-governance-and-service-management/ITIL-1/itil-4-foundation-2565
it_support,Microsoft Certified: Azure Fundamentals (AZ-900),Microsoft,entry,Cloud concepts and Azure basics,current,https://learn.microsoft.com/en-us/credentials/certifications/azure-fundamentals/
it_support,CompTIA Network+,CompTIA,entry,"Networking fundamentals, useful before moving off the help desk",current,https://www.comptia.org/certifications/network
it_support,HDI Support Center Analyst,HDI,entry,Customer-facing support process and escalation,current,https://www.thinkhdi.com/education/courses/hdi-support-center-analyst-new-version
network_infra,Cisco CCNA,Cisco,associate,"Routing, switching, IP services, the default network credential",current,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/ccna/index.html
network_infra,Cisco CCNP Enterprise,Cisco,professional,Advanced enterprise routing and switching design,current,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccnp-enterprise/index.html
network_infra,CompTIA Network+,CompTIA,entry,Vendor-neutral networking fundamentals,current,https://www.comptia.org/certifications/network
network_infra,Red Hat Certified System Administrator (RHCSA),Red Hat,associate,"Linux administration, tested by doing rather than by multiple choice",current,https://www.redhat.com/en/services/certification/rhcsa
network_infra,Microsoft Certified: Azure Administrator Associate (AZ-104),Microsoft,associate,Running Azure infrastructure day to day,current,https://learn.microsoft.com/en-us/credentials/certifications/azure-administrator/
network_infra,"VMware Certified Professional, Data Center Virtualization",Broadcom,professional,vSphere virtualisation in enterprise data centres,current,https://www.broadcom.com/support/vmware/education/certification/vcp-dcv
security,CompTIA Security+,CompTIA,entry,"The baseline security credential, and a US DoD 8570 requirement",current,https://www.comptia.org/certifications/security
security,(ISC)2 Certified in Cybersecurity (CC),(ISC)2,entry,"Entry-level security concepts, aimed at career changers",current,https://www.isc2.org/certifications/cc
security,(ISC)2 CISSP,(ISC)2,expert,Broad security management; needs five years of experience,current,https://www.isc2.org/certifications/cissp
security,CompTIA CySA+,CompTIA,associate,"Detection and response, aimed at SOC analyst work",current,https://www.comptia.org/certifications/cybersecurity-analyst
security,CompTIA PenTest+,CompTIA,associate,Penetration testing methodology and reporting,current,https://www.comptia.org/certifications/pentest
security,OffSec Certified Professional (OSCP),OffSec,professional,Hands-on exploitation in a 24-hour practical exam,current,https://www.offsec.com/courses/pen-200/
security,GIAC Security Essentials (GSEC),SANS/GIAC,associate,Broad technical security; expensive but well regarded,current,https://www.giac.org/certifications/security-essentials-gsec/
